statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
5,2020,3,1007,0.022954091,0.19061877,0.000998004,0.016791046,0.19776119,0,0.028142588,0.18574108,0.001876173,8.5432E-05,-0.010559576,0.00498299,468988,AR,ARKANSAS
6,2020,3,8964,0.091887049,0.482407,0.007956074,0.081532247,0.47794762,0.006325778,0.10620954,0.48429632,0.010309278,-0.20575438,-0.20183043,-0.20194694,5843303,CA,CALIFORNIA
8,2020,3,1800,0.046067417,0.27078652,0.009550562,0.042076994,0.259624,0.011638317,0.057627119,0.29265538,0.015819209,-0.062231563,-0.055299375,-0.082262479,880889,CO,COLORADO
9,2020,3,1078,0.080373831,0.40467289,0.010280374,0.082926832,0.41788617,0.011382114,0.063917525,0.36494845,0.008247423,-0.14503174,-0.14167376,-0.14141917,511871,CT,CONNECTICUT
10,2020,3,204,0.05882353,0.36274511,0.004901961,0.061538462,0.3923077,0,0.072916664,0.36458334,0.010416667,-0.14987807,-0.15028946,-0.17667019,131366,DE,DELAWARE
11,2020,3,193,0.35233161,0.82383418,0.015544041,0.38167939,0.84732825,0.022900764,0.33663365,0.81188118,0.00990099,-0.37340516,-0.37901178,-0.379513,76357,DC,DISTRICT OF COLUMBIA
12,2020,3,3831,0.058020476,0.33945918,0.007088475,0.05094178,0.35359588,0.004280822,0.06673459,0.33112583,0.010188487,-0.1390803,-0.14853577,-0.12893046,2819724,FL,FLORIDA
13,2020,3,2234,0.06193896,0.35188511,0.005385996,0.051937986,0.35426357,0.005426357,0.06818182,0.34584981,0.004940711,-0.13178615,-0.13725375,-0.12373904,1703075,GA,GEORGIA
15,2020,3,267,0.048689138,0.23595506,0.007490637,0.05319149,0.27127659,0.010638298,0.03773585,0.2264151,0.009433962,-0.073493466,-0.094604306,-0.039889768,175659,HI,HAWAII
16,2020,3,690,0.038011696,0.22076024,0.00877193,0.031553399,0.17718446,0.012135922,0.046961326,0.27900553,0.005524862,-0.004296411,0.034598529,-0.053001143,299231,ID,IDAHO
17,2020,3,3893,0.03735188,0.24111283,0.00309119,0.034786087,0.23510596,0.00239904,0.046061724,0.27222478,0.004145555,-0.033539135,-0.036681581,-0.040744938,1972586,IL,ILLINOIS
18,2020,3,1821,0.035714287,0.21318682,0.006043956,0.03125,0.2109375,0.006944445,0.038869258,0.21201414,0.007067138,0.011386381,-0.001323495,0.031337146,1026030,IN,INDIANA
19,2020,3,1308,0.032282859,0.1652575,0.001537279,0.032303371,0.14185393,0.001404494,0.034920637,0.1952381,0.001587302,0.03022619,0.046452671,0.00915557,493584,IA,IOWA
20,2020,3,1310,0.042780749,0.24980901,0.006111536,0.034749035,0.24710424,0.003861004,0.057663128,0.25341427,0.007587254,-0.038416117,-0.039767489,-0.028175045,484544,KS,KANSAS
21,2020,3,1383,0.046647232,0.25437316,0.008017493,0.044776119,0.23507462,0.008706467,0.053857353,0.26928675,0.008733625,-0.062057778,-0.050265588,-0.071704924,711237,KY,KENTUCKY
22,2020,3,1274,0.054245282,0.27515724,0.007861636,0.055488542,0.29674307,0.008443909,0.05832148,0.26173541,0.008534851,-0.084360458,-0.095887274,-0.073711991,682951,LA,LOUISIANA
